color,size,category,brand,initial_price,reviews_count,rating,in_stock,final_price
Grey,one-size,Storage Cabinets,SHEIN,120.99,0,0,True,120.99
Multicolor,Electroplated Citrine,Crystal Shapes & Carvings,SHEIN,2.1,0,0,True,2.1
Black,one-size,Women Sexy Bodysuits,SHEIN,3.39,0,0,True,2.14
Black,one-size,Men Belts,SHEIN,22.8,0,0,True,21.3
Multicolor,one-size,Other Commercial Cleaning Supplies,Unbeatablesale,28.53,0,0,True,28.53
White,150ML,Teacup & Saucer Sets,SHEIN,12.7,0,0,True,12.2
Multicolor,one-size,Tool Cases,Unbeatablesale,16.98,0,0,True,16.98
Multicolor,30pcs,Decorative Balloons,SHEIN,2.2,0,0,True,2.1
Multicolor,one-size,Artificial Plants,SHEIN,1.5,0,0,True,0.83
White,10pcs,Wrapping & Packaging,SHEIN,7.8,0,0,True,6.63
Retro Telephone,1PC,Decorative Crafts,SHEIN,21.3,0,0,True,20.5
Multicolor,2408-1301 (30pcs Random Styles),Rhinestones & Decorations,SHEIN,2.0,0,0,True,1.7
Brown,one-size,Storage Drawers,SHEIN,25.7,0,0,True,17.99
Multicolor,one-size,Sockets,Unbeatablesale,13.5,0,0,True,13.5
Multicolor,Beige,Travel Glasses Bag,SHEIN,12.0,0,0,True,11.2
Multi-color,one-size,Women Tongue Ring,SHEIN,6.1,0,0,True,4.55
Default,1.6oz,Perfume,Dolce & Gabbana,98.0,0,0,True,66.74
Multicolor,one-size,Car Replacement Parts,Unbeatablesale,35.33,0,0,True,35.33
Multicolor,one-size,Men Tote Bags,Unbeatablesale,22.16,0,0,True,22.16
Light Grey,45*45,Cushion Cover,Jepeak,33.6,0,0,True,24.2
Yellow,1pc,Notebooks,SHEIN,4.8,0,0,True,4.8
,Multicolor,Colored Pencils,SHEIN,79.2,0,0,True,79.2
,A,Fine Pendant Necklaces,SHEIN,10.2,0,0,True,10.2
Multicolor,one-size,Jewelry Making Findings,SHEIN,18.99,0,0,True,15.99
Multicolor,45*45,Cushion Cover,SHEIN,2.5,0,0,True,2.0
Multicolor,one-size,Other Tool Organizers,Unbeatablesale,33.83,0,0,True,33.83
Brown,one-size,Handwear,SHEIN,3.9,0,0,True,3.32
Multicolor,one-size,Party Games & Activities,SHEIN,1.7,0,0,True,1.67
